Date,Trap Session,Site name,Site ID,Mosquitoes,VDLcode,PoolID,Positive,Latitude,Longitude
8/1/2017,8/1/2017,Sand Springs,FS0217,11,USFWS-14,14,0,43.767611,-120.847788
8/1/2017,8/1/2017,Plot Butte ,FS0317,2,USFWS-15,15,0,43.6902,-120.82288
8/1/2017,8/1/2017,Cook Well,FS0417,0,,,,43.55632,-120.76093
8/1/2017,8/1/2017,Lone Pine,FWS0117,12,USFWS-11,11,0,43.770655,-120.747212
8/1/2017,8/1/2017,Firestone Basin,FWS0217,7,USFWS-12,12,0,43.720132,-120.588437
8/8/2017,8/8/2017,Jayne's Well,BLM0117,0,,,,43.614854,-120.719164
8/8/2017,8/8/2017,North Whiskey,BLM0217,3,USFWS-30,30,0,43.742217,-120.640177
8/8/2017,8/8/2017,Fredrick Butte,BLM0317,2,USFWS-31,31,0,43.69248,-120.473617
8/8/2017,8/8/2017,Twin Pines,BLM0417,0,,,,43.7703,-120.60105
8/8/2017,8/8/2017,Kotzman North,EC0117,1,USFWS-27,27,0,43.78381,-120.884
8/8/2017,8/8/2017,Kotzman South,EC0217,1,USFWS-29,29,0,43.76603,-120.8672
8/8/2017,8/8/2017,Kotzman Butte,EC0317,0,,,,43.758008,-120.872021
8/8/2017,8/8/2017,Pine Ridge,EC0417,5,USFWS-28,28,0,43.76024,-120.7265
8/8/2017,8/8/2017,Pumice Springs,FS0117,1,USFWS-25,25,0,43.720077,-120.858688
8/8/2017,8/8/2017,Sand Springs,FS0217,0,,,,43.767611,-120.847788
8/8/2017,8/8/2017,Plot Butte ,FS0317,1,USFWS-26,26,0,43.6902,-120.82288
8/8/2017,8/8/2017,Cook Well,FS0417,0,,,,43.55632,-120.76093
8/10/2017,8/8/2017,Lone Pine,FWS0117,4,USFWS-21,21,0,43.770655,-120.747212
8/10/2017,8/8/2017,Firestone Basin,FWS0217,2,USFWS-22,22,0,43.720132,-120.588437
8/10/2017,8/8/2017,Basalt Lake,FWS0317,1,USFWS-23,23,0,43.62132,-120.65308
8/10/2017,8/8/2017,Last Chance,FWS0417,4,USFWS-24,24,0,43.6069,-120.54963
8/15/2017,8/15/2017,Pumice Springs,FS0117,2,USFWS-34,34,0,43.720077,-120.858688
8/15/2017,8/15/2017,Sand Springs,FS0217,3,USFWS-35,35,0,43.767611,-120.847788
8/15/2017,8/15/2017,Plot Butte ,FS0317,3,USFWS-36,36,0,43.6902,-120.82288
8/15/2017,8/15/2017,Cook Well,FS0417,0,,,,43.55632,-120.76093
8/15/2017,8/15/2017,Lone Pine,FWS0117,1,USFWS-32,32,0,43.770655,-120.747212
8/15/2017,8/15/2017,Firestone Basin,FWS0217,0,,,,43.720132,-120.588437
8/15/2017,8/15/2017,Basalt Lake,FWS0317,2,USFWS-33,33,0,43.62132,-120.65308
8/15/2017,8/15/2017,Last Chance,FWS0417,0,,,,43.6069,-120.54963
8/16/2017,8/15/2017,Kotzman North,EC0117,1,USFWS-38,38,0,43.78381,-120.884
8/16/2017,8/15/2017,Kotzman South,EC0217,3,USFWS-39,39,0,43.76603,-120.8672
8/16/2017,8/15/2017,Kotzman Butte,EC0317,1,USFWS-40,40,0,43.758008,-120.872021
8/16/2017,8/15/2017,Pine Ridge,EC0417,8,USFWS-37,37,0,43.76024,-120.7265
8/23/2017,8/23/2017,Kotzman North,EC0117,4,USFWS-45,45,,43.78381,-120.884
8/23/2017,8/23/2017,Kotzman South,EC0217,4,USFWS-46,46,,43.76603,-120.8672
8/23/2017,8/23/2017,Kotzman Butte,EC0317,0,,,,43.758008,-120.872021
8/23/2017,8/23/2017,Pine Ridge,EC04127,0,,,,43.76024,-120.7265
8/23/2017,8/23/2017,Lone Pine,FWS0117,0,,,,43.770655,-120.747212
8/23/2017,8/23/2017,Firestone Basin,FWS0217,7,USFWS-58,58,,43.720132,-120.588437
8/23/2017,8/23/2017,Basalt Lake,FWS0317,0,,,,43.62132,-120.65308
8/23/2017,8/23/2017,Last Chance,FWS0417,6,USFWS-57,57,,43.6069,-120.54963
8/29/2017,8/29/2017,Jayne's Well,BLM0117,0,,,,43.614854,-120.719164
8/29/2017,8/29/2017,North Whiskey,BLM0217,0,,,,43.742217,-120.640177
8/29/2017,8/29/2017,Fredrick Butte,BLM0317,0,,,,43.69248,-120.473617
8/29/2017,8/29/2017,Twin Pines,BLM0417,0,,,,43.7703,-120.60105
8/29/2017,8/29/2017,Kotzman North,EC0117,2,USFWS-43,43,,43.78381,-120.884
8/29/2017,8/29/2017,Kotzman South,EC0217,0,,,,43.76603,-120.8672
8/29/2017,8/29/2017,Kotzman Butte,EC0317,0,,,,43.758008,-120.872021
8/29/2017,8/29/2017,Pine Ridge,EC0417,2,USFWS-44,44,,43.76024,-120.7265
8/29/2017,8/29/2017,Pumice Springs,FS0117,1,USFWS-52,52,,43.720077,-120.858688
8/29/2017,8/29/2017,Sand Springs,FS0217,1,USFWS-53,53,,43.767611,-120.847788
8/29/2017,8/29/2017,Plot Butte ,FS0317,0,,,,43.6902,-120.82288
8/29/2017,8/29/2017,Cook Well,FS0417,2,USFWS-51,51,,43.55632,-120.76093
8/29/2017,8/29/2017,Lone Pine,FWS0117,2,USFWS-59,59,,43.770655,-120.747212
8/29/2017,8/29/2017,Firestone Basin,FWS0217,2,USFWS-60,60,,43.720132,-120.588437
8/31/2017,8/29/2017,Basalt Lake,FWS0317,3,USFWS-62,62,,43.62132,-120.65308
8/31/2017,8/29/2017,Last Chance,FWS0417,1,USFWS-61,61,,43.6069,-120.54963
9/6/2017,9/6/2017,Jayne's Well,BLM0117,0,,,,43.614854,-120.719164
9/6/2017,9/6/2017,North Whiskey,BLM0217,0,,,,43.742217,-120.640177
9/6/2017,9/6/2017,Fredrick Butte,BLM0317,0,,,,43.69248,-120.473617
9/6/2017,9/6/2017,Twin Pines,BLM0417,0,,,,43.7703,-120.60105
9/6/2017,9/6/2017,Kotzman North,EC0117,2,USFWS-48,48,,43.78381,-120.884
9/6/2017,9/6/2017,Kotzman South,EC0217,5,USFWS-49,49,,43.76603,-120.8672
9/6/2017,9/6/2017,Kotzman Butte,EC0317,1,USFWS-50,50,,43.758008,-120.872021
9/6/2017,9/6/2017,Pine Ridge,EC0417,10,USFWS-47,47,,43.76024,-120.7265
9/6/2017,9/6/2017,Pumice Springs,FS0117,3,USFWS-55,55,,43.720077,-120.858688
9/6/2017,9/6/2017,Sand Springs,FS0217,0,,,,43.767611,-120.847788
9/6/2017,9/6/2017,Plot Butte ,FS0317,4,USFWS-56,56,,43.6902,-120.82288
9/6/2017,9/6/2017,Cook Well,FS0417,10,USFWS-54,54,,43.55632,-120.76093
9/6/2017,9/6/2017,Lone Pine,FWS0117,0,,,,43.770655,-120.747212
9/6/2017,9/6/2017,Firestone Basin,FWS0217,0,,,,43.720132,-120.588437
9/6/2017,9/6/2017,Basalt Lake,FWS0317,0,,,,43.62132,-120.65308
9/6/2017,9/6/2017,Last Chance,FWS0417,0,,,,43.6069,-120.54963
